sector_group,occupation_group,weighted_workers
Agriculture,Managers,1026.039161682129
Agriculture,Engineering profs,2089.104309082031
Agriculture,Health profs,546.202880859375
Agriculture,Teaching profs,849.9619560241699
Agriculture,Other profs,11165.75033950806
Agriculture,Clerical,408.8565559387207
Agriculture,Personal services,13349.28310775757
Agriculture,Sales,25642.53485488892
Agriculture,Craft/machine ops,52941.46460342407
Agriculture,Agri workers,5739373.033672333
Agriculture,Other/armed forces,455.0137939453125
Agriculture,Drivers,5717.766227722168
Non-manufacturing industry,Legislators,798.0682373046875
Non-manufacturing industry,Managers,1962.821338653564
Non-manufacturing industry,Engineering profs,11731.93077087402
Non-manufacturing industry,Other profs,34936.41812133789
Non-manufacturing industry,Clerical,3177.707138061523
Non-manufacturing industry,Personal services,10988.70532989502
Non-manufacturing industry,Sales,3868.710536956787
Non-manufacturing industry,Craft/machine ops,719174.0509147644
Non-manufacturing industry,Agri workers,4197.540222167969
Non-manufacturing industry,Drivers,11707.88268280029
Food and beverages,Legislators,1617.752304077148
Food and beverages,Managers,7525.196353912354
Food and beverages,Engineering profs,3651.015830993652
Food and beverages,Health profs,876.8594665527344
Food and beverages,Other profs,27793.08429336548
Food and beverages,Clerical,1372.206340789795
Food and beverages,Personal services,3227.964153289795
Food and beverages,Sales,8558.227882385254
Food and beverages,Craft/machine ops,59286.46141815186
Food and beverages,Agri workers,29418.64836120605
Food and beverages,Drivers,2996.473430633545
Textiles,Legislators,2748.450119018555
Textiles,Managers,16370.82926177979
Textiles,Engineering profs,45873.27579116821
Textiles,Health profs,1395.37255859375
Textiles,Other profs,26218.89774703979
Textiles,Clerical,9496.283401489258
Textiles,Personal services,15092.55415725708
Textiles,Sales,15742.30812835693
Textiles,Craft/machine ops,736157.8167572021
Textiles,Agri workers,1661.902633666992
Textiles,Drivers,2876.454528808594
Wood products,Legislators,603.1616821289063
Wood products,Managers,3277.234344482422
Wood products,Engineering profs,419.8360595703125
Wood products,Other profs,3987.745136260986
Wood products,Clerical,517.9103393554688
Wood products,Personal services,867.3383674621582
Wood products,Sales,1977.062789916992
Wood products,Craft/machine ops,65313.45143890381
Wood products,Agri workers,3720.70308303833
Fuel/chemicals/metals,Legislators,1289.386852264404
Fuel/chemicals/metals,Managers,17642.15873336792
Fuel/chemicals/metals,Engineering profs,5436.571685791016
Fuel/chemicals/metals,Health profs,3870.806289672852
Fuel/chemicals/metals,Other profs,28988.14679336548
Fuel/chemicals/metals,Clerical,5500.792980194092
Fuel/chemicals/metals,Personal services,14252.69087219238
Fuel/chemicals/metals,Sales,13518.35209655762
Fuel/chemicals/metals,Craft/machine ops,153869.4791755676
Fuel/chemicals/metals,Agri workers,2506.767715454102
Fuel/chemicals/metals,Drivers,6435.825469970703
Electronics/machinery/transport,Managers,2125.476314544678
Electronics/machinery/transport,Engineering profs,2361.312911987305
Electronics/machinery/transport,Other profs,4621.380485534668
Electronics/machinery/transport,Clerical,763.8941421508789
Electronics/machinery/transport,Personal services,820.4799194335938
Electronics/machinery/transport,Sales,955.7397155761719
Electronics/machinery/transport,Craft/machine ops,22719.09049224854
Electronics/machinery/transport,Drivers,456.428466796875
Other manufacturing,Managers,2082.048606872559
Other manufacturing,Engineering profs,451.7974090576172
Other manufacturing,Other profs,3781.549427032471
Other manufacturing,Personal services,1667.2158203125
Other manufacturing,Sales,12189.02972412109
Other manufacturing,Craft/machine ops,156084.6899681091
Other manufacturing,Agri workers,357.810546875
Other manufacturing,Drivers,493.1352348327637
Trade services,Legislators,345.6046905517578
Trade services,Managers,36645.36242294312
Trade services,Engineering profs,3024.582195281982
Trade services,Health profs,6254.52766418457
Trade services,Teaching profs,947.127197265625
Trade services,Other profs,212999.2623405457
Trade services,Clerical,9422.513343811035
Trade services,Personal services,18663.50883102417
Trade services,Sales,1278862.348449707
