sector_group,occupation_group,median_wage
Agriculture,Managers,3000
Agriculture,Engineering profs,3562.5
Agriculture,Teaching profs,1500
Agriculture,Other profs,3000
Agriculture,Clerical,6875
Agriculture,Personal services,2000
Agriculture,Sales,2500
Agriculture,Craft/machine ops,1500
Agriculture,Agri workers,2000
Agriculture,Drivers,4000
Non-manufacturing industry,Legislators,17500
Non-manufacturing industry,Managers,7500
Non-manufacturing industry,Engineering profs,4375
Non-manufacturing industry,Other profs,4500
Non-manufacturing industry,Clerical,4000
Non-manufacturing industry,Personal services,2500
Non-manufacturing industry,Sales,6250
Non-manufacturing industry,Craft/machine ops,2500
Non-manufacturing industry,Agri workers,1650
Non-manufacturing industry,Drivers,3000
Food and beverages,Legislators,20625
Food and beverages,Managers,6625
Food and beverages,Engineering profs,5250
Food and beverages,Health profs,4625
Food and beverages,Other profs,3000
Food and beverages,Clerical,3000
Food and beverages,Personal services,2000
Food and beverages,Sales,3000
Food and beverages,Craft/machine ops,2125
Food and beverages,Agri workers,1020
Food and beverages,Drivers,3500
Textiles,Legislators,8750
Textiles,Managers,7750
Textiles,Engineering profs,5000
Textiles,Health profs,6875
Textiles,Other profs,4500
Textiles,Clerical,4500
Textiles,Personal services,2275
Textiles,Sales,2750
Textiles,Craft/machine ops,3000
Textiles,Agri workers,750
Textiles,Drivers,4000
Wood products,Legislators,5000
Wood products,Managers,7250
Wood products,Engineering profs,3500
Wood products,Other profs,3625
Wood products,Clerical,3000
Wood products,Personal services,3000
Wood products,Sales,4125
Wood products,Craft/machine ops,2650
Wood products,Agri workers,2025
Fuel/chemicals/metals,Legislators,5250
Fuel/chemicals/metals,Managers,6250
Fuel/chemicals/metals,Engineering profs,6250
Fuel/chemicals/metals,Health profs,6875
Fuel/chemicals/metals,Other profs,5500
Fuel/chemicals/metals,Clerical,3875
Fuel/chemicals/metals,Personal services,3000
Fuel/chemicals/metals,Sales,3000
Fuel/chemicals/metals,Craft/machine ops,2750
